,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Butaritari,KI,79.22,3.07,172.79,100,80,6.76
1,Hualmay,PE,69.41,-11.1,-77.61,86,36,4.74
2,Rikitea,PF,78.14,-23.12,-134.97,100,24,12.8
3,Urucara,BR,78.95,-2.54,-57.76,85,8,3.51
4,Strezhevoy,RU,23,60.73,77.6,73,0,6.71
5,Naze,NG,75.08,5.43,7.07,92,20,3.18
6,Savonlinna,FI,24.93,61.87,28.88,92,0,2.62
7,Morondava,MG,78.32,-20.3,44.28,92,0,5.64
8,Hobart,AU,64.71,-42.88,147.33,48,75,17.22
9,Puerto Ayora,EC,81.09,-0.74,-90.35,78,20,9.17
10,Novyy Urengoy,RU,28.46,66.08,76.63,94,92,19.95
11,Craig,US,43.83,40.52,-107.55,75,90,9.17
12,Nadym,RU,26.12,65.53,72.51,88,0,18.05
13,Vaini,IN,69.8,15.34,74.49,88,0,1.05
14,Cabra,ES,45.68,37.47,-4.43,93,75,4.7
15,Saint-Augustin,FR,40.06,44.83,-0.61,100,68,2.73
16,Tuatapere,NZ,57.26,-46.13,167.69,89,0,1.95
17,Maldonado,UY,59,-34.91,-54.96,93,0,2.24
18,Kaeo,NZ,68,-35.1,173.78,54,8,7
19,Ushuaia,AR,35.6,-54.81,-68.31,100,90,6.93
20,Arona,IT,49.96,45.76,8.56,81,75,5.82
21,Dikson,RU,14.96,73.51,80.55,100,80,3.4
22,Cockburn Town,TC,78.41,21.46,-71.14,98,92,20.18
23,Miraflores,CO,55.37,5.2,-73.14,100,76,1.95
24,Mataura,NZ,55.64,-46.19,168.86,44,0,4.63
25,Manado,ID,84.2,1.49,124.85,79,40,5.82
26,Albany,US,44.31,42.65,-73.75,61,20,4.74
27,Atuona,PF,83.09,-9.8,-139.03,99,20,13.02
28,Qaanaaq,GL,12.89,77.48,-69.36,87,80,11.01
29,Chokurdakh,RU,18.02,70.62,147.9,100,68,6.08
30,Brae,GB,43.81,60.4,-1.35,70,36,17.22
31,Bethel,US,38.28,60.79,-161.76,48,1,13.87
32,Cape Town,ZA,61.65,-33.93,18.42,82,0,11.41
33,Avarua,CK,82.4,-21.21,-159.78,65,48,12.75
34,Leningradskiy,RU,6.86,69.38,178.42,94,12,11.9
35,Punta Arenas,CL,44.28,-53.16,-70.91,81,75,36.91
36,Hermanus,ZA,62.46,-34.42,19.24,87,48,8.99
37,Vardo,US,54.46,39.62,-77.74,87,1,1.83
38,Nyurba,RU,24.77,63.29,118.35,64,0,4.18
39,Half Moon Bay,US,62.91,37.46,-122.43,87,90,11.41
40,Port Alfred,ZA,61,-33.59,26.89,92,8,17.05
41,Kavieng,PG,82.82,-2.57,150.8,100,92,4.74
42,Sao Filipe,CV,71.39,14.9,-24.5,94,0,16.15
43,East London,ZA,68.96,-33.02,27.91,100,32,15.93
44,Arraial do Cabo,BR,80.39,-22.97,-42.02,90,12,4.74
45,Carnarvon,ZA,47.72,-30.97,22.13,76,0,6.64
46,Sinnamary,GF,78.32,5.38,-52.96,100,100,12.68
47,Clyde River,CA,6.8,70.47,-68.59,84,36,24.16
48,Busselton,AU,61.48,-33.64,115.35,50,8,10.22
49,Port Hawkesbury,CA,36.72,45.62,-61.36,93,90,6.93
50,Khatanga,RU,16.58,71.98,102.47,94,88,10.33
51,Mount Gambier,AU,57.2,-37.83,140.78,76,90,11.41
52,Tual,ID,83.9,-5.67,132.75,98,44,3.29
53,Severo-Kurilsk,RU,32.78,50.68,156.12,93,92,24.87
54,Ostrovnoy,RU,27.11,68.05,39.51,92,76,7.76
55,Bredasdorp,ZA,62.17,-34.53,20.04,87,0,3.36
56,Hilo,US,74.95,19.71,-155.08,65,90,13.87
57,Marsh Harbour,BS,75.98,26.54,-77.06,100,24,10.22
58,Barrow,AR,64.46,-38.31,-60.23,45,0,12.01
59,Saint-Denis,FR,48.2,48.94,2.36,71,0,4.7
60,Itarema,BR,71.21,-2.92,-39.92,100,100,9.66
61,Lasa,CY,54.84,34.92,32.53,87,20,5.82
62,Upernavik,GL,29.27,72.79,-56.15,74,0,13.69
63,Rotifunk,SL,80.84,8.23,-12.68,76,88,5.41
64,Tres Picos,MX,80.48,16.23,-93.58,47,0,3.85
65,Cayenne,GF,77,4.94,-52.33,88,0,3.36
66,Severo-Yeniseyskiy,RU,26.39,60.37,93.04,77,88,6.76
67,Pevek,RU,11.99,69.7,170.27,93,0,6.2
68,Acapulco,MX,78.8,16.86,-99.88,83,5,11.41
69,Hobyo,SO,79.49,5.35,48.53,85,24,7.99
70,Mikhaylovka,RU,22.79,52.96,103.29,55,0,8.43
71,Maiduguri,NG,79.76,11.84,13.15,60,20,1.95
72,Tiznit,MA,53.75,29.7,-9.73,89,8,8.55
73,Salinopolis,BR,79.58,-0.61,-47.36,100,76,10.45
74,Cherskiy,RU,16.04,68.75,161.3,72,0,2.39
75,Balsas,BR,73.82,-7.53,-46.04,90,48,4.85
76,Iraray,PH,81.2,8.99,118.05,100,20,3.85
77,Cariati,IT,57,39.5,16.95,99,0,3.96
78,Timbuktu,ML,80.57,16.77,-3.01,22,0,11.68
79,Northam,GB,46.42,51.04,-4.21,85,56,7
80,Boyolangu,ID,73.73,-8.09,111.9,95,56,4.18
81,Mar del Plata,AR,61.94,-46.43,-67.52,35,0,11.79
82,Kruisfontein,ZA,61.04,-34,24.73,82,0,11.01
83,Constitucion,MX,69.17,23.99,-104.67,10,5,16.11
84,Zhigansk,RU,24.41,66.77,123.37,72,0,5.19
85,Victoria,BN,83.14,5.28,115.24,83,90,2.24
86,Ballina,IE,40.05,54.11,-9.15,99,24,3.4
87,Ilulissat,GL,37.4,69.22,-51.1,47,68,35.57
88,Oga,NG,83.72,8.18,5.65,62,12,11.79
89,Castro,CL,53.6,-42.48,-73.76,100,90,9.17
90,Iquique,CL,69.8,-20.22,-70.14,73,0,18.34
91,Sankt Polten,AT,43.59,48.2,15.63,89,0,1.99
92,Longyearbyen,NO,15.8,78.22,15.63,66,20,16.11
93,Katsuura,JP,63.57,33.93,134.5,51,75,2.24
94,Sioux Falls,US,59.16,43.55,-96.7,77,75,10.29
95,Mutsu,JP,42.58,41.29,141.2,56,75,17.22
96,Grand Gaube,MU,79.3,-20.01,57.66,69,75,11.41
97,Salalah,OM,77,17.01,54.1,78,20,5.82
98,Belaya Gora,RU,22.34,68.54,146.19,100,68,4.07
99,Liverpool,GB,44.64,53.41,-2.98,81,0,3.36
100,Afogados da Ingazeira,BR,69.41,-7.75,-37.64,93,64,4.85
101,Ponta do Sol,BR,67.16,-20.63,-46,90,24,3.18
102,Lata,IN,44.93,30.78,78.62,86,56,1.95
103,Conde,BR,79.58,-11.81,-37.61,94,68,7.09
104,Nikolskoye,RU,31.41,59.7,30.79,80,0,6.71
105,Mwinilunga,ZM,64.46,-11.73,24.43,93,48,3.62
106,Gerardmer,FR,45.46,48.07,6.88,75,40,2.24
107,Dunmore Town,BS,76.16,25.5,-76.65,100,92,11.23
108,Talaya,RU,31.01,55.79,84.89,94,75,8.95
109,Hasaki,JP,62.22,35.73,140.83,63,75,4.7
110,Stykkisholmur,IS,35.48,65.08,-22.73,97,80,2.73
111,Nome,US,73.04,30.04,-94.42,88,90,8.05
112,Saint-Philippe,CA,38.19,45.36,-73.48,80,1,4.7
113,Aden,YE,80.84,12.79,45.03,97,0,14.92
114,Kitaibaraki,JP,54.45,36.84,140.74,50,40,8.05
115,Athabasca,CA,36.56,54.72,-113.29,100,92,7.76
116,Klaksvik,FO,41,62.23,-6.59,97,36,10.29
117,Khuzdar,PK,57.17,27.8,66.62,52,0,5.64
118,Imbituba,BR,69.8,-28.24,-48.67,88,90,4.7
119,Nuuk,GL,35.98,64.17,-51.74,59,48,3.36
120,Camacha,PT,60.8,33.08,-16.33,82,40,10.29
121,Ahipara,NZ,65.72,-35.17,173.16,82,12,11.01
122,Jamestown,AU,66.62,-33.21,138.6,47,0,7.65
123,Baicheng,CN,40.34,45.61,122.87,45,0,8.99
124,Najran,SA,66.2,17.54,44.22,72,0,6.93
125,Lagoa,PT,53.08,37.14,-8.45,82,40,17.22
126,Nuqui,CO,82.4,5.71,-77.27,78,20,5.82
127,Norman Wells,CA,30.2,65.28,-126.83,58,20,13.87
128,Chicama,PE,69.8,-7.84,-79.15,94,40,8.05
129,Broome,GB,45.05,52.47,1.45,93,24,6.93
130,Changuinola,PA,79,9.44,-82.52,74,64,1.83
131,Curup,ID,70.31,-3.47,102.53,93,12,0.49
132,Codrington,AU,77.94,-28.95,153.24,61,0,5.82
133,Luderitz,NA,57.26,-26.65,15.16,90,68,9.55
134,Champerico,MX,87.8,16.38,-93.6,43,40,5.82
135,Buraydah,SA,69.8,26.33,43.97,68,20,8.05
136,Porto Novo,BR,70.58,-23.68,-45.44,100,92,2.28
137,Newburn,GB,44.35,54.98,-1.74,93,75,5.82
138,Thompson,CA,30.2,55.74,-97.86,28,40,8.05
139,Port Lincoln,AU,64.19,-34.72,135.86,92,68,15.26
140,Kapaa,US,78.84,22.08,-159.32,65,75,14.99
141,Esperance,TT,76.51,10.24,-61.45,78,20,6.93
142,Vicksburg,US,64.72,32.35,-90.88,100,40,2.84
143,Auki,NG,82.37,12.18,6.51,45,0,8.55
144,Mahebourg,MU,79.03,-20.41,57.7,69,75,11.41
145,Yuli,NG,86.87,10.52,9.86,36,88,5.75
146,Manono,CD,74.36,-7.3,27.4,86,8,6.53
147,Kalmunai,LK,71.21,7.42,81.82,100,0,2.84
148,Port Elizabeth,US,53.04,39.31,-74.98,76,1,4.18
149,Llangefni,GB,42.21,53.26,-4.31,93,8,6.93
150,Venado Tuerto,AR,54,-33.75,-61.97,45,0,1.99
151,Yellowknife,CA,19.78,62.45,-114.38,67,90,14.99
152,Yinchuan,CN,46.91,38.48,106.21,34,36,4.18
153,Singapore,MY,80.02,1.29,103.85,78,75,3.36
154,Hovd,NO,40.66,63.83,10.7,84,75,16.11
155,Tasiilaq,GL,30.2,65.61,-37.64,54,92,41.38
156,Australind,AU,59.13,-33.28,115.72,51,8,10
157,Taltal,CL,57.71,-25.41,-70.49,77,0,0.94
158,Bluff,AU,79.04,-23.58,149.07,51,0,10.33
159,Kaduna,NG,79.31,10.52,7.44,54,8,8.21
160,Gat,SN,73.78,14.69,-16.54,56,24,20.8
161,Baton Rouge,US,74.89,30.45,-91.15,69,1,10.29
162,Mandalgovi,MN,24.14,45.76,106.27,99,56,8.77
163,Portland,US,51.78,45.52,-122.67,66,90,13.87
164,Saskylakh,RU,20.36,71.97,114.09,84,44,18.5
165,Hofn,IS,35.84,64.25,-15.21,100,48,20.4
166,Cheremshanka,UA,48.26,51.44,24.5,52,76,13.35
167,Dunedin,NZ,57.99,-45.87,170.5,60,0,21
168,Tuktoyaktuk,CA,5,69.44,-133.03,71,20,14.99
169,Saldanha,PT,38.9,41.42,-6.55,94,80,6.98
170,Kirksville,US,64.56,40.19,-92.58,59,1,11.41
171,Lompoc,US,64.94,34.64,-120.46,77,1,12.75
172,San Pedro,AR,57,-33.68,-59.66,73,36,1.01
173,Necochea,AR,62.48,-38.55,-58.74,59,0,11.23
174,Novovarshavka,RU,29.09,54.17,74.7,90,24,7.65
175,Mugur-Aksy,RU,19.01,50.38,90.44,83,76,2.17
176,Bambous Virieux,MU,79.09,-20.34,57.76,69,75,11.41
177,Verkhnyaya Inta,RU,26.75,65.99,60.32,78,0,8.43
178,Jacmel,HT,81.91,18.24,-72.54,51,8,10.29
179,Port Arthur,US,73.17,29.9,-93.93,88,90,8.05
180,Tabou,CI,84.35,4.42,-7.36,97,8,13.58
181,Colwyn Bay,GB,43.93,53.29,-3.71,87,8,3.36
182,Stephenville,US,65.79,32.22,-98.2,93,90,5.82
183,Palmer,AU,68.22,-34.85,139.16,59,75,19.46
184,Guerrero Negro,MX,67.88,27.97,-114.04,62,0,15.26
185,Soyo,AO,80.93,-6.13,12.37,90,88,3.18
186,Okato,NZ,59.42,-39.19,173.88,100,56,7.65
187,Kaitangata,NZ,59,-46.28,169.85,55,0,15.01
188,Puerto Escondido,MX,80.6,15.86,-97.07,74,20,11.41
189,Saint George,GR,50.95,39.45,22.34,93,75,2.17
190,Frejlev,DK,42.37,57.01,9.82,93,76,2.62
191,Kodiak,US,67.44,39.95,-94.76,73,1,14.99
192,Ojinaga,US,75.43,29.56,-104.41,12,1,5.41
193,Arak,IR,44.84,34.1,49.69,84,88,5.97
194,Panaba,MX,86.06,21.28,-88.27,47,0,13.24
195,Sokoni,CD,65.09,-12.89,28.78,86,24,6.2
196,Georgetown,GY,77.74,6.8,-58.16,78,20,9.17
197,Lyman,UA,36.2,48.98,37.82,78,0,6.98
198,Hithadhoo,MV,84.08,-0.6,73.08,100,0,6.76
199,Albesti-Paleologu,RO,43.47,44.95,26.22,80,0,9.17
200,Saint Anthony,US,45.57,43.97,-111.68,49,1,21.92
201,Sitka,US,62.01,37.17,-99.65,69,44,1.01
202,Hamilton,CA,49.33,43.26,-79.87,76,75,2.24
203,Bensonville,LR,78.8,6.45,-10.61,94,40,6.87
204,Poum,MK,34.31,41.28,20.71,91,0,1.95
205,Atasu,KZ,28.01,48.68,71.64,81,0,7.76
206,Neuquen,AR,62.6,-38.95,-68.06,63,0,2.24
207,Koslan,RU,23.78,63.46,48.9,81,0,3.18
208,Fez,MA,46.4,34.03,-5.02,93,75,6.93
209,Sola,NO,39.58,58.89,5.65,93,0,2.24
210,Malangas,PH,77.42,7.63,123.03,96,92,2.95
211,Pisco,PE,75.2,-13.71,-76.2,78,0,9.17
212,Warrnambool,AU,62.01,-38.38,142.48,69,0,1.99
213,Cabo San Lucas,MX,73.04,22.89,-109.91,64,5,9.17
214,Meulaboh,ID,77.69,4.14,96.13,100,44,7.54
215,Cap-aux-Meules,CA,32,47.38,-61.86,88,90,6.93
216,Faanui,PF,85.52,-16.48,-151.75,97,88,16.15
217,Bandarbeyla,SO,80.03,9.49,50.81,100,0,2.73
218,Nouadhibou,MR,66.2,20.93,-17.03,59,0,25.28
219,Flinders,AU,74.95,-34.58,150.85,60,0,9.17
220,Tiksi,RU,20.18,71.64,128.87,73,0,4.41
221,Lebu,ET,59,8.96,38.73,72,0,4.7
222,Karasjok,NO,26.6,69.47,25.52,79,76,12.75
223,Yumen,CN,48.35,40.29,97.04,40,88,4.41
224,Spring Valley,US,54.57,41.11,-74.04,50,1,5.82
225,Maniitsoq,GL,32.06,65.42,-52.9,78,80,7.76
226,Ancud,CL,53.6,-41.87,-73.83,100,90,9.17
227,Wanning,AT,42.53,48.64,13.53,70,8,4.7
228,New Norfolk,AU,64.71,-42.78,147.06,48,75,17.22
229,Sneek,NL,48.16,53.03,5.66,93,8,11.41
230,Adrar,DZ,64.4,27.87,-0.29,36,0,8.05
231,Coahuayana,MX,83.72,18.62,-100.35,25,24,3.4
232,Tefe,BR,78.86,-3.35,-64.71,95,20,1.39
233,Paamiut,GL,33.86,61.99,-49.67,90,36,37.51
234,Tawang,BT,39.53,27.59,91.87,57,80,1.39
235,Mabaruma,GY,79.49,8.2,-59.78,78,92,10.11
236,Biak,ID,79.94,-0.91,122.88,98,48,2.51
237,Airai,TL,76.88,-8.93,125.41,67,0,1.95
238,Talnakh,RU,16.58,69.49,88.39,88,76,11.34
239,Polovinnoye,RU,22.79,54.79,65.99,62,0,4.63
240,Trelew,AR,71.03,-43.25,-65.31,35,0,9.66
241,Byron Bay,AU,78.75,-28.65,153.62,57,0,10.29
242,Labuhan,ID,74.45,-2.54,115.51,96,80,1.05
243,Puerto Colombia,CO,80.6,10.99,-74.96,78,0,13.87
244,Samarai,PG,76.79,-10.62,150.67,100,92,2.73
245,Nago,IT,47.91,45.88,10.89,100,40,3.36
246,Luanda,AO,80.6,-8.83,13.24,88,75,2.24
247,Ayan,TR,33.23,40.67,33.6,73,44,2.17
248,Sokolo,ML,82.19,14.74,-6.12,27,8,15.82
249,Vila Velha,BR,80.85,-3.71,-38.6,78,75,3.36
250,Winsum,NL,46.67,53.33,6.52,93,0,5.82
251,Sao Joao da Barra,BR,82.01,-21.64,-41.05,95,0,20.29
252,Bulgan,MN,20,48.81,103.53,75,32,2.73
253,Kodinsk,RU,22.16,58.6,99.18,77,44,3.18
254,Yatou,CM,78.8,3.63,9.81,100,75,3.36
255,Carutapera,BR,77.24,-1.2,-46.02,96,92,6.64
256,Carman,CA,43.63,49.51,-98,100,90,6.93
257,Skovorodino,RU,32.78,53.99,123.94,56,8,7.43
258,Alaca,TR,36.83,40.17,34.84,86,88,2.95
259,Te Anau,NZ,54.38,-45.41,167.72,50,0,3.62
260,Gushikawa,JP,75.67,26.35,127.87,78,1,6.93
261,Zhezkazgan,KZ,31.61,47.8,67.71,89,0,9.66
262,Batticaloa,LK,75.89,7.71,81.69,100,0,4.41
263,Freetown,BS,77,26.61,-78.36,78,75,5.82
264,Topaipi,CO,73.19,5.33,-74.3,80,56,1.5
265,Blagoveshchensk,RU,39.2,50.29,127.53,44,0,11.18
266,Coihaique,CL,50.99,-45.58,-72.07,76,0,2.24
267,Dongsheng,CN,68.24,29.72,112.52,81,0,11.45
268,Noshiro,JP,45.28,40.21,140.05,100,75,17.22
269,Sundargarh,IN,64.01,22.12,84.04,91,24,2.95
270,Faya,SA,63.48,18.39,42.45,55,0,11.41
271,San Cristobal,EC,56.26,-0.39,-78.55,76,75,10.29
272,Srikakulam,IN,82.82,18.29,83.89,100,12,10
273,Itacoatiara,BR,83.72,-3.14,-58.44,71,24,5.19
274,Winnemucca,US,54.5,40.97,-117.74,39,1,10.29
275,Tilichiki,RU,30.71,60.47,166.1,93,0,4.07
276,Baker City,US,47.68,44.77,-117.83,62,20,12.75
277,Walvis Bay,NA,58.32,-22.95,14.51,87,0,9.17
278,Keti Bandar,PK,81.02,24.14,67.45,90,0,14.14
279,Impfondo,CD,74.81,1.62,18.06,90,56,2.17
280,Nikolayevsk-na-amure,RU,26.84,53.14,140.72,93,80,12.91
281,Florida,CU,75.2,21.53,-78.23,83,20,10.29
282,Belen,TR,60.6,36.49,36.19,82,75,4.7
283,Qaqortoq,GL,33.8,60.72,-46.03,80,20,2.24
284,Provideniya,RU,17.21,64.42,-173.23,100,36,5.75
285,Yeppoon,AU,80.6,-23.13,150.74,51,40,10.29
286,Wajima,JP,60.8,37.4,136.9,25,0,11.41
287,Calabozo,VE,88.85,8.92,-67.43,36,8,12.57
288,Dingle,PH,79.04,11,122.67,95,20,8.43
289,Geraldton,CA,39.2,49.72,-86.95,51,20,4.7
290,Lorengau,PG,84.44,-2.02,147.27,94,32,6.2
291,Lavrentiya,RU,14.24,65.58,-170.99,100,24,8.99
292,Souillac,FR,39.4,45.6,-0.6,100,20,2.24
293,Ribeira Grande,PT,59.24,38.52,-28.7,100,68,26.11
294,Marawi,PH,82.99,8,124.29,79,64,5.01
295,Narsaq,GL,33.8,60.91,-46.05,80,36,2.24
296,Alepe,CI,82.4,5.5,-3.66,94,20,5.82
297,Fortuna,ES,51.4,38.18,-1.13,57,20,6.93
298,Coruripe,BR,83.54,-10.12,-36.18,92,68,12.01
299,Ambon,FR,46.11,47.55,-2.56,100,90,8.05
300,Metro,ID,80.84,-5.11,105.31,87,20,7.31
301,Nanortalik,GL,32.06,60.14,-45.24,91,68,17.27
302,Lahijan,IR,54.57,37.21,50,93,90,2.62
303,Haines Junction,CA,36.83,60.75,-137.51,71,0,2.73
304,Husavik,CA,41.83,50.56,-96.99,61,88,12.12
305,Goderich,CA,47.84,43.74,-81.71,82,0,8.01
306,Ambilobe,MG,71.48,-13.19,49.05,83,0,5.19
307,Vila Franca do Campo,PT,56.82,37.72,-25.43,87,75,25.28
308,Sechura,PE,76.52,-5.56,-80.82,73,12,9.22
309,Fonte Boa,BR,80.84,-2.51,-66.09,86,24,4.41
310,Green River,US,43,41.53,-109.47,45,1,20.8
311,Cruz Alta,AR,59.78,-33.01,-61.81,57,0,7.65
312,Turukhansk,RU,19.28,65.8,87.96,88,80,15.26
313,Sambava,MG,80.39,-14.27,50.17,100,68,15.7
314,Ca Mau,VN,81.02,9.18,105.15,88,56,8.66
315,Ebebiyin,GQ,75.35,2.15,11.34,87,76,3.4
316,Kainantu,PG,71.57,-6.29,145.87,85,32,1.95
317,Srednekolymsk,RU,15.23,67.46,153.71,80,0,3.18
318,Virginia Beach,US,52.86,36.85,-75.98,100,90,4.7
319,Jacareacanga,BR,76.79,-6.22,-57.76,92,32,1.72
320,San Policarpo,PH,79.58,12.18,125.51,96,68,8.43
321,El Alto,BO,42.8,-16.5,-68.19,93,75,6.93
322,Savannah Bight,HN,81.02,16.45,-85.85,94,0,21.74
323,Touros,BR,78.05,-5.2,-35.46,100,92,4.29
324,Suslonger,RU,35.6,56.32,48.25,100,75,8.95
325,Kiunga,PG,74.18,-6.12,141.3,98,92,2.84
326,Aykhal,RU,21.71,65.95,111.51,80,68,11.34
327,Mayo,CA,35.6,63.59,-135.9,47,90,13.87
328,Kungurtug,RU,19.64,50.6,97.53,84,64,3.18
329,Lancaster,US,54.55,40.04,-76.31,67,1,5.82
330,Igarka,RU,18.74,67.47,86.57,91,76,6.42
331,Tabuk,PH,71.12,17.41,121.44,91,20,1.95
332,Bondoukou,CI,80.03,8.04,-2.8,81,12,9.44
333,Muros,ES,42.22,42.77,-9.06,93,40,1.12
334,Pontes e Lacerda,BR,69.86,-15.23,-59.33,84,100,3.85
335,Abu Samrah,SY,55.46,35.3,37.18,89,88,3.18
336,Flin Flon,CA,33.68,54.77,-101.88,65,80,12.12
337,Torbay,CA,32.2,47.66,-52.73,90,90,12.75
