,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
338,General Roca,AR,62.6,-39.03,-67.58,63,0,2.24
339,Pathein,MM,76.34,16.78,94.73,93,0,7.87
340,Olavarria,AR,61,-36.89,-60.32,63,8,7.65
341,Viransehir,TR,52.4,37.24,39.76,98,92,6.53
342,Rio Grande,BR,69.41,-32.03,-52.1,97,88,12.35
343,Jizan,SA,84.2,16.89,42.56,74,0,6.93
344,Mount Isa,AU,84.2,-20.73,139.49,45,0,12.75
345,Beringovskiy,RU,12.98,63.05,179.32,100,44,23.09
346,Finschhafen,PG,77.24,-6.6,147.85,90,80,1.28
347,Enterprise,US,74.59,36.05,-115.22,23,40,3.36
348,Valentin Gomez Farias,MX,69.24,24.05,-104.7,10,5,16.11
349,Porto Walter,BR,73.01,-8.27,-72.74,93,88,4.18
350,Tulum,MX,79.84,20.21,-87.46,78,20,9.17
351,Buala,SB,87.05,-8.15,159.59,82,36,2.95
352,Boa Vista,BR,87.8,2.82,-60.67,45,0,10.29
353,Isangel,VU,82.4,-19.55,169.27,58,40,14.99
354,Nova Zagora,BG,46.4,42.49,26.01,87,90,4.7
355,Henties Bay,NA,59,-22.12,14.28,88,0,5.01
356,Avera,US,64.67,33.19,-82.53,87,90,5.82
357,Morris,US,59.65,41.36,-88.42,67,1,6.93
358,Kaduqli,SD,65.36,11.01,29.72,57,0,2.62
359,Lazaro Cardenas,MX,69.8,28.39,-105.62,19,40,9.17
360,Aksarka,RU,23.87,66.56,67.8,78,0,18.05
361,Rumonge,BI,71.3,-3.97,29.44,100,12,2.73
362,Svetlogorsk,RU,26.6,53.14,59.15,92,8,6.71
363,Sawakin,SD,62.66,19.1,37.33,100,0,4.41
364,Sohag,EG,71.6,26.55,31.7,24,0,6.93
365,Hare Bay,CA,28.49,48.86,-53.99,100,90,10.29
366,Casas Grandes,MX,71.93,30.15,-110.24,27,36,2.73
367,Vysha,RU,32.6,53.85,42.38,97,68,3.06
368,Sorland,NO,37.64,67.67,12.69,100,12,24.87
369,Udachnyy,RU,23.15,66.42,112.4,76,48,7.65
370,Saint-Pierre,FR,39.81,48.95,4.24,81,0,5.82
371,Harstad,NO,32,68.8,16.53,100,44,18.34
372,Ishigaki,JP,77,24.34,124.16,88,40,6.93
373,Worland,US,57.47,44.02,-107.96,26,40,13.87
374,Hatillo,PR,74.21,18.49,-66.83,78,1,13.87
375,Lafia,NG,81.83,8.5,8.51,65,12,10.67
376,Ankang,CN,55.91,32.73,108.99,71,0,1.95
377,Araguari,BR,75.08,-18.65,-48.19,78,36,2.28
378,Chuy,UY,63.56,-33.69,-53.46,87,92,5.19
379,Coracao de Jesus,BR,71.6,-16.69,-44.37,88,0,4.97
380,Zilair,RU,23.87,52.23,57.44,82,8,3.96
381,Mahibadhoo,MV,83.36,3.78,72.97,100,44,2.28
382,Juegang,CN,73,32.31,121.18,54,8,12.8
383,Dillon,US,45.28,45.22,-112.64,56,1,8.05
384,Sembakung,ID,82.4,3.82,117.25,83,75,3.36
385,Minsk,BY,41,53.9,27.56,65,0,13.42
386,Shimoda,JP,65.77,34.7,138.93,59,0,3.36
387,Komsomolskiy,RU,24.59,67.55,63.78,88,80,19.06
388,Cairns,AU,77.72,-16.92,145.77,74,75,10.29
389,Edd,ER,70.58,13.93,41.69,93,0,2.39
390,Yukhnov,RU,27.92,54.74,35.23,74,0,2.84
391,Rodrigues Alves,BR,73.55,-7.74,-72.65,97,92,4.97
392,Berlevag,NO,28.46,70.86,29.09,100,32,12.24
393,Erice,IT,54.1,38.04,12.59,71,20,9.17
394,Rawson,AR,71.03,-43.3,-65.11,35,0,9.66
395,Sisimiut,GL,24.68,66.94,-53.67,65,24,5.08
396,Sangar,RU,27.11,63.92,127.47,66,12,4.97
397,Bilma,NE,72.29,18.69,12.92,22,0,3.29
398,Beausejour,CA,45.14,50.06,-96.51,65,75,8.05
399,Asbestos,CA,37.11,45.78,-71.93,86,75,6.93
400,Cruzeiro do Sul,BR,73.55,-7.63,-72.67,97,92,4.97
401,Ola,RU,35.66,59.58,151.3,83,0,13.47
402,Baykit,RU,27.74,61.68,96.39,89,80,4.07
403,Hambantota,LK,75.2,6.12,81.12,100,0,1.12
404,Putina,PE,48.2,-14.91,-69.87,61,40,1.12
405,Colinas,BR,74.18,-6.03,-44.25,97,80,2.39
406,Pangnirtung,CA,19.28,66.15,-65.72,79,88,4.74
407,Marsa Matruh,EG,60.8,31.35,27.25,93,20,2.24
408,Beyneu,KZ,48.53,45.32,55.19,69,88,13.47
409,Baherden,TM,54.11,38.44,57.43,100,92,4.52
410,Konstantinovo,BG,46.4,42,25.79,87,90,4.7
411,Tezu,IN,59.06,27.93,96.16,59,8,2.06
412,San Jose,PH,76.79,15.79,120.99,85,0,2.95
413,Raudeberg,NO,40.48,61.99,5.14,60,8,9.17
414,Zeljezno Polje,BA,39.44,44.41,17.93,87,0,2.73
415,Kud,IN,53.84,33.08,75.29,57,0,3.4
416,Mujiayingzi,CN,34.49,42.12,118.78,48,36,3.96
417,Petropavlovsk-Kamchatskiy,RU,39.2,53.05,158.65,55,40,11.18
418,Makakilo City,US,82.8,21.35,-158.09,58,1,12.75
419,Linkou,CN,37.64,45.29,130.27,64,0,6.31
420,Spolaita,GR,51.4,38.7,21.35,76,20,9.17
421,Midleton,IE,45.59,51.91,-8.17,75,40,9.17
422,Teya,MX,90.59,21.05,-89.07,38,5,17.22
423,Hohhot,CN,51.8,40.81,111.65,21,20,2.24
424,Koumac,NC,79.85,-20.56,164.28,72,0,5.53
425,Aklavik,CA,17.6,68.22,-135.01,52,75,9.17
426,Kamariotissa,GR,53.6,40.48,25.47,93,75,10.29
427,Vila,IT,49.55,45.18,8.4,81,75,5.82
428,Laguna,MX,77,27.52,-110.01,31,20,6.93
429,Tanete,ID,82.01,-3.94,119.78,80,24,4.74
430,Gavle,SE,37.99,60.67,17.14,78,92,4
431,Yerofey Pavlovich,RU,30.98,53.97,121.97,48,68,7.76
432,Phimai,TH,81.9,15.22,102.49,83,24,4.7
433,Gallup,US,56.35,35.53,-108.74,43,90,6.93
434,Vostok,RU,31.79,46.45,135.83,84,12,2.51
435,Fort Nelson,CA,30.2,58.81,-122.69,74,90,2.24
436,Tura,IN,65.09,25.52,90.21,94,92,5.75
437,Pervomayskiy,RU,23.96,53.24,40.29,73,0,3.06
438,Nioro,GM,85.61,13.79,-15.05,27,0,11.68
439,Borodino,RU,24.86,55.9,94.89,65,76,4.41
440,Sakete,BJ,84.2,6.74,2.66,89,20,14.99
441,Nelson Bay,AU,79.93,-32.72,152.14,51,0,9.17
442,Kolosovka,RU,16.31,56.47,73.61,72,0,4.29
443,Lahaina,US,80.02,20.87,-156.68,48,20,5.82
444,Waddan,LY,54.11,29.16,16.14,76,0,3.96
445,Mikuni,JP,53.6,36.22,136.15,54,75,4.7
446,Fomboni,KM,84.53,-12.28,43.74,100,0,6.98
447,Tromso,NO,28.26,69.65,18.96,86,75,18.34
448,Cidreira,BR,69.41,-30.17,-50.22,96,100,7.76
449,Verkhnevilyuysk,RU,23.24,63.45,120.31,68,0,3.62
450,Los Llanos de Aridane,ES,62.6,28.66,-17.92,72,20,9.17
451,Umred,IN,77,20.85,79.32,31,8,4.7
452,Noumea,NC,78.8,-22.28,166.46,61,44,3.36
453,Manggar,ID,78.95,-2.88,108.27,100,8,3.74
454,Myitkyina,MM,61.85,25.38,97.4,89,8,2.17
455,Sobolevo,RU,34.58,54.43,31.9,73,36,3.29
456,Moctezuma,MX,71.03,29.81,-109.68,25,68,2.73
457,Deputatskiy,RU,21.26,69.3,139.9,86,64,3.96
458,Alofi,NU,86,-19.06,-169.92,79,92,6.93
459,Satkhira,BD,69.8,22.72,89.08,94,40,3.36
460,Bud,NO,37.78,62.91,6.91,100,56,8.05
461,Padang,ID,77,-0.92,100.36,94,40,3.36
462,Pacific Grove,US,61.14,36.62,-121.92,67,1,11.41
463,Mosjoen,NO,39.07,65.84,13.19,69,80,17.22
464,Unity,CA,56.36,52.44,-109.15,44,64,16.26
465,Luba,PH,78.86,17.32,120.7,79,8,3.62
466,Bosaso,SO,80.3,11.28,49.18,99,0,6.64
467,Quesnel,CA,53.6,52.98,-122.49,37,90,13.87
468,Doha,QA,74.48,25.29,51.53,69,0,4.7
469,Mandi Bahauddin,PK,64.46,32.58,73.49,74,12,5.75
470,Motril,ES,45.21,36.75,-3.52,93,64,2.24
471,Carinhanha,BR,72.74,-14.3,-43.77,88,8,3.18
472,Galesong,ID,80.6,-5.32,119.37,94,20,2.24
473,Abalak,NE,79.31,15.46,6.28,33,56,4.07
474,Iqaluit,CA,19.15,63.75,-68.52,67,75,8.32
475,Kaka,TM,52.31,37.35,59.62,100,36,2.62
476,Vrangel,RU,38.9,42.73,133.08,90,0,11.79
477,Riyadh,SA,75.2,24.63,46.72,27,0,2.24
478,Vilhena,BR,69.95,-12.74,-60.15,84,92,3.62
479,Oia,ES,44.65,42,-8.88,100,40,3.36
480,Bathsheba,BB,78.8,13.22,-59.52,65,20,21.92
481,Staffanstorp,SE,40.89,55.64,13.21,70,0,8.05
482,Porteirinha,BR,70.94,-15.74,-43.03,90,0,3.4
483,Luang Prabang,LA,68,19.89,102.14,88,40,2.24
484,Comodoro Rivadavia,AR,66.2,-45.87,-67.48,37,0,9.17
485,Planaltina,BR,68,-15.62,-47.66,100,40,4.7
486,Puerto Quijarro,BO,66.2,-19,-57.72,88,0,3.36
487,North Battleford,CA,33.8,52.78,-108.3,88,90,24.16
488,Kautokeino,NO,20.45,69.01,23.04,94,88,5.97
489,Simao,CN,56.09,22.76,100.79,84,0,2.06
490,Cartagena,ES,51.69,37.63,-1,50,8,13.87
491,Lisakovsk,KZ,25.4,52.55,62.49,76,0,2.84
492,Malanje,AO,66.8,-9.54,16.35,96,68,2.17
493,Jieshi,CN,73.1,22.82,115.83,92,36,6.08
494,Arnia,IN,62.6,32.52,74.8,72,40,4.74
495,Vanavara,RU,22.43,60.35,102.28,80,0,6.31
496,Ostruznica,RS,48.51,44.73,20.32,62,0,11.41
497,Qasigiannguit,GL,37.4,68.82,-51.19,47,68,35.57
498,Landerneau,FR,47.89,48.45,-4.26,93,36,6.93
499,Tessalit,ML,64.37,20.2,1.01,27,0,7.54
500,Cabedelo,BR,78.8,-6.97,-34.84,94,75,1.12
501,Mantua,IT,48.85,45.16,10.79,87,75,4.7
502,Klyuchi,RU,31.34,52.25,79.17,81,36,9.78
503,Bonthe,SL,81.56,7.53,-12.5,85,64,4.63
504,Miri,NG,84.98,10.31,9.75,35,88,1.39
505,Kenai,US,42.57,60.55,-151.26,60,20,23.04
506,Topeka,US,66.58,39.05,-95.68,63,90,6.93
507,Yar-Sale,RU,23.51,66.83,70.83,79,0,19.73
508,Sorong,ID,81.56,-0.86,131.25,100,8,3.4
509,Westport,IE,39.72,53.8,-9.52,76,32,8.99
510,Sopelana,ES,44.31,43.38,-2.98,93,75,2.24
511,Ixtapa,MX,76.46,20.71,-105.21,69,5,5.82
512,Francisco Sa,BR,71.6,-16.48,-43.49,88,0,2.51
513,Maracaibo,CO,73.4,3.41,-75.78,83,40,8.05
514,Salamanca,ES,38.75,40.97,-5.66,86,88,16.11
515,Entebbe,UG,69.8,0.06,32.45,88,40,5.82
516,Dergachi,RU,38.09,51.24,48.77,89,92,11.56
517,San Patricio,PY,67.16,-26.98,-56.83,79,32,4.63
518,Kavaratti,IN,84.08,10.57,72.64,100,0,8.77
519,Kidal,ML,74,18.44,1.41,21,0,8.66
520,Riberalta,BO,71.21,-11,-66.08,74,56,4.41
521,Ajdabiya,LY,53.57,30.75,20.22,93,0,7.2
522,Kangaba,ML,88.04,11.94,-8.41,35,88,8.21
523,San Rafael,AR,59.06,-34.61,-68.33,37,0,4.18
524,Riverton,US,49.69,43.02,-108.38,27,1,21.92
525,Mount Pleasant,US,64.15,33.16,-94.97,64,1,6.93
526,Tooele,US,53.6,40.53,-112.3,57,1,11.41
527,Longhua,CN,60.23,29.21,106.21,67,0,2.51
528,Haicheng,CN,44.21,40.85,122.74,21,0,4.07
529,Cabo Rojo,PR,74.23,18.09,-67.15,78,1,13.87
530,Mackenzie,CA,50,55.34,-123.09,37,20,11.41
531,Linhares,BR,78.68,-19.38,-40.06,80,0,9.44
532,Balkanabat,TM,56.99,39.51,54.36,82,36,3.85
533,Sadasivpet,IN,73.4,17.62,77.95,83,40,6.93
534,Alma,US,62.2,40.1,-99.36,67,1,13.87
535,Bolgatanga,GH,79.31,10.79,-0.85,69,48,6.76
536,Omboue,GA,82.91,-1.57,9.26,100,76,5.41
537,Gospic,HR,44.6,44.55,15.37,87,0,5.82
538,Rosolini,IT,50.92,36.82,14.95,100,40,5.82
539,Galle,US,71.2,29.74,-97.91,88,75,5.82
540,Pacifica,US,61.57,37.61,-122.49,87,90,11.41
541,Karagach,RU,41.27,43.81,43.77,81,8,4.47
542,Chulman,RU,26.48,56.84,124.9,69,64,7.2
543,Vao,EE,32.78,59.1,26.19,67,0,6.76
544,Birao,CF,69.14,10.3,22.78,32,0,4.63
545,Sosua,DO,77.54,19.77,-70.52,83,40,9.17
546,Sioux Lookout,CA,42.17,50.1,-91.92,55,1,6.93
547,Tonekabon,IR,55.4,36.82,50.88,93,90,1.5
548,Nishihara,JP,62.06,35.74,139.53,55,20,6.93
549,Bima,ID,77.24,-8.45,118.73,97,12,2.39
550,Hayvoron,UA,38.36,48.34,29.87,58,56,6.98
551,Hami,CN,52.58,42.84,93.51,54,80,1.72
552,Logan,US,51.71,41.73,-111.83,53,75,3.36
553,Nantucket,US,45.88,41.28,-70.1,93,1,6.93
554,Bartica,GY,75.2,6.41,-58.62,88,20,4.7
555,Kurmanayevka,RU,44.39,52.51,52.07,91,88,12.57
556,Yulara,AU,86,-25.24,130.99,27,0,11.41
557,Nizwa,OM,62.03,22.93,57.53,40,24,3.85
558,Boissevain,CA,37.4,49.23,-100.06,100,90,6.93
559,Birjand,IR,46.4,32.86,59.22,73,0,6.93
560,Rocha,UY,59.78,-34.48,-54.34,76,88,4.74
561,Maningrida,AU,77.96,-12.05,134.23,100,92,8.1
562,Cody,US,52.79,44.53,-109.06,34,1,19.46
563,Smidovich,RU,38.99,48.6,133.81,56,56,4.97
564,Fartura,BR,71.03,-23.39,-49.51,98,64,4.29
565,Derbent,RU,43.22,42.06,48.29,97,80,2.06
566,Kutahya,TR,47.46,39.42,29.98,81,75,5.82
567,Columbus,US,67.95,32.46,-84.99,100,90,2.28
568,Lukovetskiy,RU,23,64.29,41.92,92,0,3.74
569,Nara,JP,61.59,34.68,135.8,45,0,3.36
570,Chabahar,IR,77.87,25.29,60.65,91,12,7.43
571,Oskarshamn,SE,34.2,57.26,16.44,100,36,2.24
572,Davila,PH,86,18.47,120.58,66,20,4.7
573,Yangambi,CD,74.18,0.77,24.47,97,32,2.28
574,Ilebo,CD,75.08,-4.33,20.59,94,0,2.39
575,La Ronge,CA,37.4,55.1,-105.3,55,90,16.11
576,Puerto Leguizamo,CO,92.72,-0.19,-74.78,38,92,3.18
577,Bundaberg,AU,81.73,-24.87,152.35,54,75,6.93
578,Aksay,RU,37.4,47.27,39.86,71,0,8.95
579,Erzin,TR,59.95,36.95,36.2,82,75,4.7
580,Chapais,CA,24.8,49.78,-74.86,53,1,5.82
581,Xixiang,CN,77.85,22.58,113.87,74,20,8.05
582,Areosa,PT,46.31,41.72,-8.86,76,20,5.82
583,Xining,CN,24.68,36.62,101.77,65,0,2.62
584,Conceicao do Araguaia,BR,79.31,-8.26,-49.26,81,44,4.63
585,Rabo de Peixe,PT,56.88,37.8,-25.58,87,75,25.28
586,Goure,NE,77.96,13.98,10.27,28,0,5.64
587,Zhuhai,CN,46.4,40.71,112.04,28,0,2.24
588,Qidong,CN,75,31.81,121.66,55,0,3
589,Umm Lajj,SA,65.81,25.02,37.27,91,8,5.64
590,Shizuishan,CN,44.75,39.02,106.36,29,32,2.84
591,Beibei,CN,64.4,29.83,106.43,63,0,8.95
592,Svetlaya,RU,35.3,46.54,138.33,84,12,3.85
593,Ambunti,PG,81.02,-4.22,142.82,88,80,2.39
594,Barao de Melgaco,BR,75.2,-16.19,-55.97,83,90,8.05
595,Miasskoye,RU,26.11,55.28,61.89,92,0,6.71
596,Cedar City,US,55.15,37.68,-113.06,35,75,10.29
597,Almaznyy,RU,37.4,48.03,40.04,72,0,8.95
598,Khurda,IN,78.8,20.18,85.62,65,20,5.86
599,Lamu,ID,76.97,0.57,122.3,98,0,3.06
600,Manta,RO,46.82,45.1,24.1,59,44,8.77
601,Kayes,ML,82.19,14.44,-11.44,36,0,6.98
602,Ivanteyevka,RU,29.75,55.97,37.92,82,75,2.24
603,Abeche,TD,66.71,13.83,20.83,42,0,3.4
604,Micheweni,TZ,83.9,-4.97,39.83,100,20,3.62
605,Xiongyue,CN,47.54,40.18,122.12,17,0,3.74
606,Kachiry,KZ,34.04,53.07,76.1,78,8,10
607,Safranbolu,TR,46.46,41.25,32.69,65,20,1.95
608,Urusha,RU,33.5,54.05,122.9,49,56,8.43
609,Flekkefjord,NO,41.9,58.3,6.66,85,0,1.01
610,Noyabrsk,RU,27.29,63.2,75.45,89,92,14.81
611,Yerbogachen,RU,23.42,61.28,108.01,73,24,7.2
612,Ngunguru,NZ,68,-35.62,174.5,54,0,7
613,Anadyr,RU,12.09,64.73,177.51,72,0,15.66
614,Saint-Joseph,FR,43.23,43.56,6.97,87,90,3.36
615,Danielskuil,ZA,49.52,-28.19,23.54,93,0,4.52
616,Ouro Sogui,SN,86,15.61,-13.32,28,0,2.24
617,Rafaela,AR,60.93,-31.25,-61.49,49,0,1.01
618,Mbala,ZM,61.94,-8.85,31.37,91,36,7.09
619,Srivardhan,IN,68.33,18.03,73.02,96,0,4.07
620,Tsabong,BW,62.66,-26.02,22.4,44,0,8.1
621,Pitea,SE,29.23,65.32,21.48,100,48,9.17
622,Bereda,ES,42.85,43.27,-7.54,87,76,6.93
623,Xai-Xai,MZ,76.88,-25.04,33.64,96,88,12.91
624,Taraz,KZ,44.04,42.89,71.39,100,90,2.24
625,Tautira,PF,89.26,-17.73,-149.15,62,20,5.82
626,Mumford,GH,81.2,5.26,-0.76,87,8,11.12
627,Madikeri,IN,69.5,12.42,75.74,93,12,1.39
628,Kalabo,ZM,74.81,-15,22.67,62,8,10.56
629,Opunake,NZ,57.8,-39.45,173.86,100,80,9.22
630,Tenenkou,ML,83.45,14.46,-4.91,29,0,15.26
631,Dryden,CA,39.2,49.79,-92.84,55,1,6.93
632,Makhinjauri,GE,44.6,41.67,41.69,93,0,5.82
633,Zhanaozen,KZ,53.39,43.35,52.85,71,88,18.28
634,Havre-Saint-Pierre,CA,28.4,50.23,-63.6,92,40,11.41
635,Karaton,ID,81.66,-6.34,106.1,78,20,3.36
636,Bodden Town,KY,80.19,19.28,-81.25,83,20,6.93
637,Veraval,FR,44.91,49.65,0.71,81,76,5.82
638,Santiago de Cuba,CU,80.6,20.03,-75.83,69,75,6.93
639,Gairo,TZ,62.39,-6.14,36.87,93,24,4.07
640,Kharp,RU,26.12,66.82,65.8,80,44,17.38
641,Yuksekova,TR,39.2,37.57,44.29,80,0,6.93
642,Coquimbo,CL,57.2,-29.95,-71.34,93,0,4.18
643,Vizinga,RU,29.72,61.08,50.08,93,0,5.64
644,Ayr,GB,45.09,55.46,-4.63,87,75,4.7
645,Pierre,US,58.51,44.37,-100.35,77,1,10.29
646,Buluang,PH,86,10.47,123.98,66,75,4.7
647,Bilibino,RU,20.54,68.06,166.44,69,0,3.74
648,Baoqing,CN,40.16,46.32,132.2,54,56,4.97
649,Port Blair,IN,83.18,11.67,92.75,100,0,4.18
650,Vagay,RU,20.36,57.94,69.02,69,20,6.76
651,Ranfurly,CA,49.25,53.41,-111.68,76,88,6.31
652,Miramar,CR,70.92,10.09,-84.73,83,75,3.36
653,Gimbi,ET,49.16,8.81,37.79,94,56,1.95
654,Thunder Bay,CA,37.62,48.41,-89.26,77,20,6.93
655,Chernyshevskiy,RU,22.43,63.01,112.47,72,64,7.76
656,Arsikere,IN,76.79,13.31,76.26,42,8,6.42
657,The Valley,AI,77.88,18.22,-63.06,69,20,14.99
658,Aksu,KZ,30.2,52.04,76.93,92,0,8.95
659,Ustye,RU,33.14,58.76,27.79,66,12,9.33
660,Santa Maria,BR,68,-29.69,-53.81,88,75,5.82
661,Teahupoo,PF,89.26,-17.83,-149.27,62,20,5.82
662,Kulykiv,UA,42.8,49.98,24.08,87,0,6.71
663,Bayonet Point,US,74.68,28.33,-82.68,83,1,1.72
664,Hidalgo,US,80.47,26.1,-98.26,74,75,10.29
665,Richards Bay,ZA,63.11,-28.77,32.06,98,24,5.97
666,Gigmoto,PH,79.04,13.78,124.39,100,56,4.52
667,Ponta Delgada,PT,56.8,37.73,-25.67,87,75,25.28
668,Roald,NO,37.18,62.58,6.12,97,75,18.34
669,Viedma,AR,62.39,-40.81,-62.99,39,0,7.54
670,Merauke,ID,82.19,-8.49,140.4,100,48,5.75
671,Honningsvag,NO,29.99,70.98,25.97,100,68,11.68
672,Galeana,MX,66,24.83,-100.08,37,0,8.99
673,Shelbyville,US,61.29,39.41,-88.79,72,1,5.82
674,Salinas,US,61.5,36.67,-121.66,68,1,9.17
675,Baft,IR,33.41,29.23,56.61,88,12,0.94
676,Port Moresby,PG,82.46,-9.47,147.16,98,20,2.95
677,Shar,NG,78.5,7.3,8.73,84,32,10.11
678,Pavelets,RU,34,53.79,39.25,96,0,1.01
679,Bani,PH,79.22,15.89,120.27,94,8,3.62
680,Diego de Almagro,CL,64.64,-26.39,-70.05,66,0,2.73
